agv_id,name_en,entity_type,governance_modality_primary,topic_focus_primary,geographic_scope,region_code,lead_actor_primary,legal_character,founded_date,current_state,convening_frequency,primary_reference_url,confidence,notes
fli_2014,Future of Life Institute,intl_ngo_thinktank,research_monitoring,safety_frontier,global,,civil_society,n/a,2014-03-01,active,continuous,https://futureoflife.org/about-us/our-history/,high,Founded 2014; AI safety became central program area
asilomar_2017,Asilomar Conference on Beneficial AI,one_off_summit,declaration_principles,ai_general,global,,academia,soft_law,2017-01-05,active,one_off,https://futureoflife.org/open-letter/ai-principles/,high,Produced 23 Asilomar AI Principles
partnership_ai,Partnership on AI,multistakeholder_coalition,dialogue_coordination,ethics_rights,global,,hybrid_mso,soft_law,2016-09-28,active,continuous,https://partnershiponai.org/,high,Founded by Amazon DeepMind Facebook Google IBM Microsoft
oecd_ai_principles,OECD AI Principles,igo_initiative,declaration_principles,ai_general,global,,igo_secretariat,soft_law,2019-05-22,active,continuous,https://oecd.ai/en/ai-principles,high,First intergovernmental AI standard; updated 2024
oecd_ai_observatory,OECD.AI Policy Observatory,igo_initiative,research_monitoring,ai_general,global,,igo_secretariat,n/a,2020-02-27,active,continuous,https://oecd.ai/,high,Hosts policy navigator with 900+ initiatives
gpai_2020,Global Partnership on AI (founding coalition),multistakeholder_coalition,research_monitoring,ai_general,global,,state_govt,soft_law,2020-06-15,absorbed,annual,https://gpai.ai/,high,Integrated with OECD in 2024
gpai_integrated,GPAI Integrated Partnership,igo_initiative,research_monitoring,ai_general,global,,igo_secretariat,soft_law,2024-07-01,active,annual,https://oecd.ai/en/gpai,high,Successor to GPAI 2020 coalition under OECD
eu_hleg_ai,EU High-Level Expert Group on AI,igo_initiative,declaration_principles,ethics_rights,regional,EU,igo_secretariat,soft_law,2018-06-14,terminated,one_off,https://digital-strategy.ec.europa.eu/en/policies/expert-group-ai,high,Produced Ethics Guidelines for Trustworthy AI; concluded 2020
iso_iec_sc42,ISO/IEC JTC 1/SC 42 (AI),standards_body_wg,technical_standards,standards_interop,global,,igo_secretariat,soft_law,2017-10-01,active,continuous,https://www.iso.org/committee/6794475.html,high,Premier international AI standards committee
unesco_ai_ethics,UNESCO Recommendation on the Ethics of AI,igo_initiative,declaration_principles,ethics_rights,global,,igo_secretariat,soft_law,2021-11-23,active,continuous,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics,high,Adopted by 193 member states
